State,Party,Vote Percentage
Alaska,Republican (incumbent),54.90%
Alaska,Democrat,41.10%
Alaska,Independent,1.70%
Alaska,Libertarian,0.90%
Alaska,Green,0.70%
Alaska,Unity,0.30%
Alaska,Constitution,0.20%
Alaska,American Solidarity,0.20%
Alabama,Republican (incumbent),64.60%
Alabama,Democrat,34.10%
Alabama,Independent,0.50%
Alabama,Write - In,0.40%
Alabama,Libertarian,0.20%
Alabama,Green,0.20%
Arkansas,Republican (incumbent),64.20%
Arkansas,Democrat,33.60%
Arkansas,Independent,1.10%
Arkansas,Libertarian,0.50%
Arkansas,Green,0.40%
Arkansas,American Solidarity,0.20%
Arkansas,Prohibition,0.10%
Arizona,Republican,52.20%
Arizona,Democrat (incumbent),46.70%
Arizona,Green,0.50%
Arizona,Libertarian,0.50%
Arizona,Write - In,0.00%
California,Democrat (incumbent),58.50%
California,Republican,38.30%
California,Independent,1.20%
California,Green,1.10%
California,Peace and Freedom,0.50%
California,Libertarian,0.40%
California,Write - In,0.00%
Colorado,Democrat (incumbent),54.20%
Colorado,Republican,43.20%
Colorado,Independent,1.10%
Colorado,Libertarian,0.70%
Colorado,Green,0.50%
Colorado,Unity,0.20%
Colorado,Constitution,0.10%
Colorado,Approval Voting,0.10%
Colorado,Write - In,0.00%
Connecticut,Democrat (incumbent),56.40%
Connecticut,Republican,41.90%
Connecticut,Green,0.80%
Connecticut,Independent,0.50%
Connecticut,Libertarian,0.40%
Connecticut,Write - In,0.00%
District of Columbia,Democrat (incumbent),90.30%
District of Columbia,Republican,6.50%
District of Columbia,Write - In,2.40%
District of Columbia,Independent,0.90%
Delaware,Democrat (incumbent),56.60%
Delaware,Republican,41.90%
Delaware,Independent,0.90%
Delaware,Libertarian,0.40%
Delaware,Conservative,0.20%
Delaware,Write - In,0.00%
Florida,Republican (incumbent),56.10%
Florida,Democrat,43.00%
Florida,Green,0.40%
Florida,Libertarian,0.30%
Florida,Peace and Freedom,0.10%
Florida,American Solidarity,0.10%
Florida,Constitution,0.10%
Florida,Write - In,0.00%
Georgia,Republican,50.70%
Georgia,Democrat (incumbent),48.50%
Georgia,Libertarian,0.40%
Georgia,Green,0.30%
Georgia,Write - In,0.00%
Hawaii,Democrat (incumbent),60.60%
Hawaii,Republican,37.50%
Hawaii,Green,0.80%
Hawaii,Libertarian,0.50%
Hawaii,Peace and Freedom,0.40%
Hawaii,American Solidarity,0.20%
Iowa,Republican (incumbent),55.70%
Iowa,Democrat,42.50%
Iowa,Independent,0.80%
Iowa,Libertarian,0.40%
Iowa,Write - In,0.40%
Iowa,Peace and Freedom,0.10%
Iowa,Independent,0.00%
Iowa,Socialist,0.00%
Idaho,Republican (incumbent),66.90%
Idaho,Democrat,30.40%
Idaho,Independent,1.40%
Idaho,Libertarian,0.50%
Idaho,Green,0.30%
Idaho,Constitution,0.20%
Idaho,Peace and Freedom,0.10%
Idaho,Constitution,0.10%
Idaho,Independent,0.10%
Idaho,Write - In,0.00%
Illinois,Democrat (incumbent),54.60%
Illinois,Republican,43.80%
Illinois,Independent,1.40%
Illinois,Write - In,0.20%
Indiana,Republican (incumbent),58.70%
Indiana,Democrat,39.60%
Indiana,Independent,1.00%
Indiana,Libertarian,0.70%
Indiana,Write - In,0.00%
Kansas,Republican (incumbent),57.20%
Kansas,Democrat,41.00%
Kansas,Independent,1.20%
Kansas,Libertarian,0.60%
Kansas,Write - In,0.00%
Kentucky,Republican (incumbent),64.50%
Kentucky,Democrat,33.90%
Kentucky,Independent,0.80%
Kentucky,Green,0.40%
Kentucky,Libertarian,0.30%
Kentucky,Write - In,0.10%
Kentucky,Independent,0.00%
Louisiana,Republican (incumbent),60.20%
Louisiana,Democrat,38.20%
Louisiana,Green,0.40%
Louisiana,Libertarian,0.30%
Louisiana,Independent,0.30%
Louisiana,"Godliness, Truth, Justic",0.10%
Louisiana,Unity,0.10%
Louisiana,American Solidarity,0.10%
Louisiana,Peace and Freedom,0.10%
Louisiana,Constitution,0.10%
Louisiana,Socialist Workers Party,0.00%
Massachusetts,Democrat (incumbent),61.20%
Massachusetts,Republican,36.00%
Massachusetts,Green,0.80%
Massachusetts,Write - In,0.60%
Massachusetts,Independent,0.50%
Massachusetts,Libertarian,0.50%
Massachusetts,Peace and Freedom,0.40%
Maryland,Democrat (incumbent),62.60%
Maryland,Republican,34.10%
Maryland,Green,1.10%
Maryland,Independent,0.90%
Maryland,Write - In,0.70%
Maryland,Libertarian,0.50%
Maine,Democrat (incumbent),52.20%
Maine,Republican,45.70%
Maine,Green,1.10%
Maine,Libertarian,0.60%
Maine,Unity,0.40%
Maine,Write - In,0.10%
Michigan,Republican,49.70%
Michigan,Democrat (incumbent),48.30%
Michigan,Green,0.80%
Michigan,Independent,0.50%
Michigan,Libertarian,0.40%
Michigan,Unity,0.10%
Michigan,Constitution,0.10%
Michigan,Socialist Equality,0.00%
Michigan,Write - In,0.00%
Minnesota,Democrat (incumbent),50.90%
Minnesota,Republican,46.70%
Minnesota,Independent,0.70%
Minnesota,Green,0.50%
Minnesota,Libertarian,0.50%
Minnesota,Write - In,0.40%
Minnesota,Unity,0.10%
Minnesota,Peace and Freedom,0.10%
Minnesota,Independent,0.10%
Minnesota,Socialist Workers Party,0.00%
Missouri,Republican (incumbent),58.50%
Missouri,Democrat,40.10%
Missouri,Libertarian,0.80%
Missouri,Green,0.60%
Missouri,Write - In,0.10%
Mississippi,Republican (incumbent),60.90%
Mississippi,Democrat,38.00%
Mississippi,Independent,0.40%
Mississippi,Libertarian,0.20%
Mississippi,Green,0.20%
Mississippi,Peace and Freedom,0.10%
Mississippi,Constitution,0.10%
Mississippi,American Solidarity,0.10%
Mississippi,Independent,0.10%
Mississippi,Write - In,0.00%
Montana,Republican (incumbent),58.40%
Montana,Democrat,38.50%
Montana,Independent,2.00%
Montana,Libertarian,0.70%
Montana,Green,0.50%
Montana,Write - In,0.00%
North Carolina,Republican (incumbent),50.90%
North Carolina,Democrat,47.60%
North Carolina,Green,0.40%
North Carolina,Libertarian,0.40%
North Carolina,Write - In,0.30%
North Carolina,Unity,0.20%
North Carolina,Constitution,0.10%
North Dakota,Republican (incumbent),67.00%
North Dakota,Democrat,30.50%
North Dakota,Libertarian,1.70%
North Dakota,Write - In,0.80%
Nebraska,Republican (incumbent),59.30%
Nebraska,Democrat,38.90%
Nebraska,Libertarian,0.70%
Nebraska,Write - In,0.50%
Nebraska,Unity,0.30%
Nebraska,Green,0.30%
New Hampshire,Democrat (incumbent),50.70%
New Hampshire,Republican,47.90%
New Hampshire,Libertarian,0.50%
New Hampshire,Write - In,0.50%
New Hampshire,Green,0.40%
New Jersey,Democrat (incumbent),51.80%
New Jersey,Republican,45.90%
New Jersey,Green,0.90%
New Jersey,Independent,0.50%
New Jersey,Write - In,0.30%
New Jersey,Libertarian,0.20%
New Jersey,Peace and Freedom,0.10%
New Jersey,Constitution,0.10%
New Jersey,Socialist Equality,0.00%
New Jersey,Socialist Workers Party,0.00%
New Mexico,Democrat (incumbent),51.90%
New Mexico,Republican,45.90%
New Mexico,Independent,1.00%
New Mexico,Green,0.50%
New Mexico,Libertarian,0.40%
New Mexico,Peace and Freedom,0.30%
New Mexico,Liberal,0.10%
Nevada,Republican,50.60%
Nevada,Democrat (incumbent),47.50%
Nevada,None Of The Above,1.30%
Nevada,Libertarian,0.40%
Nevada,Constitution,0.20%
New York,Democrat (incumbent),55.60%
New York,Republican,43.90%
New York,Write - In,0.50%
Ohio,Republican (incumbent),55.10%
Ohio,Democrat,43.90%
Ohio,Libertarian,0.50%
Ohio,Independent,0.20%
Ohio,American Solidarity,0.20%
Ohio,Write - In,0.00%
Oklahoma,Republican (incumbent),66.20%
Oklahoma,Democrat,31.90%
Oklahoma,Independent,1.00%
Oklahoma,Libertarian,0.60%
Oklahoma,Independent,0.30%
Oregon,Democrat (incumbent),55.30%
Oregon,Republican,41.00%
Oregon,Independent,1.50%
Oregon,Green,0.90%
Oregon,Write - In,0.60%
Oregon,Libertarian,0.40%
Oregon,Unity,0.30%
Oregon,Constitution,0.10%
Pennsylvania,Republican,50.40%
Pennsylvania,Democrat (incumbent),48.70%
Pennsylvania,Green,0.50%
Pennsylvania,Libertarian,0.50%
Pennsylvania,Write - In,0.00%
Rhode Island,Democrat (incumbent),55.40%
Rhode Island,Republican,41.90%
Rhode Island,Independent,1.00%
Rhode Island,Green,0.60%
Rhode Island,Write - In,0.50%
Rhode Island,Libertarian,0.30%
Rhode Island,Peace and Freedom,0.20%
Rhode Island,The Party Party,0.10%
South Carolina,Republican (incumbent),58.20%
South Carolina,Democrat,40.40%
South Carolina,Libertarian,0.50%
South Carolina,Green,0.30%
South Carolina,Unity,0.30%
South Carolina,Constitution,0.20%
South Carolina,Peace and Freedom,0.10%
South Dakota,Republican (incumbent),63.40%
South Dakota,Democrat,34.20%
South Dakota,Independent,1.70%
South Dakota,Libertarian,0.60%
Tennessee,Republican (incumbent),64.20%
Tennessee,Democrat,34.50%
Tennessee,Independent,0.70%
Tennessee,Green,0.30%
Tennessee,Independent,0.20%
Tennessee,Peace and Freedom,0.10%
Tennessee,Socialist Workers Party,0.00%
Tennessee,Write - In,0.00%
Texas,Republican (incumbent),56.10%
Texas,Democrat,42.50%
Texas,Green,0.70%
Texas,Libertarian,0.60%
Texas,Write - In,0.10%
Utah,Republican (incumbent),59.40%
Utah,Democrat,37.80%
Utah,Libertarian,1.10%
Utah,Constitution,0.60%
Utah,Green,0.60%
Utah,Peace and Freedom,0.20%
Utah,Unaffiliated,0.20%
Utah,Unity,0.10%
Utah,Write - In,0.00%
Virginia,Democrat (incumbent),51.80%
Virginia,Republican,46.10%
Virginia,Green,0.80%
Virginia,Write - In,0.50%
Virginia,Libertarian,0.40%
Virginia,Unity,0.20%
Virginia,Peace and Freedom,0.20%
Vermont,Democrat (incumbent),63.80%
Vermont,Republican,32.30%
Vermont,Independent,1.60%
Vermont,Write - In,0.80%
Vermont,Libertarian,0.50%
Vermont,Peace and Freedom,0.50%
Vermont,Unity,0.40%
Vermont,Socialist Workers Party,0.10%
Washington,Democrat (incumbent),57.20%
Washington,Republican,39.00%
Washington,Independent,1.40%
Washington,Green,0.80%
Washington,Write - In,0.60%
Washington,Libertarian,0.40%
Washington,Peace and Freedom,0.20%
Washington,Unity,0.20%
Washington,Independent,0.10%
Washington,Socialist Equality,0.00%
Washington,Socialist Workers Party,0.00%
Wisconsin,Republican,49.60%
Wisconsin,Democrat (incumbent),48.70%
Wisconsin,Independent,0.50%
Wisconsin,Green,0.40%
Wisconsin,Libertarian,0.30%
Wisconsin,Write - In,0.20%
Wisconsin,Constitution,0.10%
Wisconsin,Unity,0.10%
Wisconsin,Peace and Freedom,0.10%
West Virginia,Republican (incumbent),70.00%
West Virginia,Democrat,28.10%
West Virginia,Independent,1.20%
West Virginia,Libertarian,0.40%
West Virginia,Green,0.30%
West Virginia,Write - In,0.00%
Wyoming,Republican (incumbent),71.60%
Wyoming,Democrat,25.80%
Wyoming,Libertarian,1.60%
Wyoming,Write - In,1.00%
